Team,Mat,Won,Tied,Draw,Runs,Wkts,Balls,Ave,RPO,Year
Australia,2,2,0,0,1417,75,3560,18.89,2.38,1877
Australia,1,1,0,0,548,30,1198,18.26,2.74,1879
Australia,1,1,0,0,953,35,1986,27.22,2.87,1880
Australia,1,0,0,1,1049,33,2769,31.78,2.27,1881
Australia,5,4,0,1,3280,162,8527,20.24,2.3,1882
Australia,3,3,0,0,2153,106,5657,20.31,2.28,1883
Australia,4,2,0,2,3062,111,7128,27.58,2.57,1884
Australia,4,4,0,0,2866,132,7710,21.71,2.23,1885
Australia,3,3,0,0,1909,96,5623,19.88,2.03,1886
Australia,2,2,0,0,984,80,3228,12.3,1.82,1887
Australia,4,4,0,0,1485,140,3904,10.6,2.28,1888
Australia,2,2,0,0,1007,71,3217,14.18,1.87,1890
Australia,3,3,0,0,2664,109,7774,24.44,2.05,1892
Australia,3,1,0,2,2561,92,5372,27.83,2.86,1893
Australia,2,2,0,0,2520,80,5983,31.5,2.52,1894
Australia,3,3,0,0,2701,102,5797,26.48,2.79,1895
Australia,3,3,0,0,2268,111,4776,20.43,2.84,1896
Australia,1,1,0,0,1292,31,2545,41.67,3.04,1897
Australia,4,4,0,0,4021,126,9257,31.91,2.6,1898
Australia,5,1,0,4,4550,149,9865,30.53,2.76,1899
Australia,1,1,0,0,804,30,1895,26.8,2.54,1901
Australia,12,9,0,3,9268,391,19110,23.7,2.9,1902
Australia,1,1,0,0,1541,35,3245,44.02,2.84,1903
Australia,4,4,0,0,3216,157,7200,20.48,2.68,1904
Australia,5,2,0,3,4650,150,9449,31,2.95,1905
Australia,1,1,0,0,1148,38,2254,30.21,3.05,1907
Australia,4,4,0,0,4623,159,9779,29.07,2.83,1908
Australia,5,3,0,2,3669,159,8145,23.07,2.7,1909
Australia,2,2,0,0,2203,70,3534,31.47,3.74,1910
Australia,5,5,0,0,6382,184,11473,34.68,3.33,1911
Australia,9,6,0,3,6816,247,14904,27.59,2.74,1912
Australia,2,2,0,0,2226,68,4570,32.73,2.92,1920
Australia,11,7,0,4,11147,327,21363,34.08,3.13,1921
Australia,1,1,0,0,1611,40,3639,40.27,2.65,1924
Australia,4,4,0,0,5086,150,12209,33.9,2.49,1925
Australia,5,1,0,4,3909,96,9395,40.71,2.49,1926
Australia,3,3,0,0,3850,102,9765,37.74,2.36,1928
Australia,2,2,0,0,2976,75,8418,39.68,2.12,1929
Australia,6,4,0,2,6744,169,14990,39.9,2.69,1930
Australia,7,7,0,0,5772,217,13246,26.59,2.61,1931
Australia,4,4,0,0,3178,129,7262,24.63,2.62,1932
Australia,3,3,0,0,3440,104,8179,33.07,2.52,1933
Australia,5,3,0,2,5712,151,12997,37.82,2.63,1934
Australia,2,1,0,1,2233,63,4791,35.44,2.79,1935
Australia,5,5,0,0,3980,152,9797,26.18,2.43,1936
Australia,3,3,0,0,3465,108,7778,32.08,2.67,1937
Australia,4,2,0,2,4780,116,9503,41.2,3.01,1938
Australia,3,3,0,0,2538,86,5991,29.51,2.54,1946
Australia,5,2,0,3,4891,154,11861,31.75,2.47,1947
Australia,8,7,0,1,8996,244,20247,36.86,2.66,1948
Australia,2,2,0,0,1965,59,4471,33.3,2.63,1949
Australia,5,4,0,1,3908,156,9534,25.05,2.45,1950
Australia,7,7,0,0,6797,241,16600,28.2,2.45,1951
Australia,3,3,0,0,2950,120,7707,24.58,2.29,1952
Australia,8,3,0,5,7999,254,19928,31.49,2.4,1953
Australia,3,3,0,0,2722,108,6609,25.2,2.47,1954
Australia,7,4,0,3,7780,206,16677,37.76,2.79,1955
Australia,9,6,0,3,6416,273,18376,23.5,2.09,1956
Australia,2,1,0,1,1958,62,5359,31.58,2.19,1957
Australia,5,4,0,1,3720,153,12388,24.31,1.8,1958
Australia,8,6,0,2,6872,253,17593,27.16,2.34,1959
Australia,5,2,1,2,4856,159,11773,30.54,2.47,1960
Australia,8,5,0,3,8758,271,21244,32.31,2.47,1961
Australia,2,1,0,1,2565,63,6019,40.71,2.55,1962
Australia,4,1,0,3,4037,120,10475,33.64,2.31,1963
Australia,14,5,0,9,14580,413,34852,35.3,2.51,1964
Australia,7,3,0,4,7842,213,17249,36.81,2.72,1965
Australia,5,4,0,1,5850,154,13122,37.98,2.67,1966
Australia,5,4,0,1,4811,162,10637,29.69,2.71,1967
Australia,9,6,0,3,9219,307,23538,30.02,2.34,1968
Australia,8,6,0,2,8782,268,20560,32.76,2.56,1969
Australia,6,4,0,2,6853,207,15687,33.1,2.62,1970
Australia,4,2,0,2,4394,124,11149,35.43,2.36,1971
Australia,7,6,0,1,7315,228,15865,32.08,2.76,1972
Australia,7,4,0,3,7341,209,16706,35.12,2.63,1973
Australia,8,5,0,3,7963,264,18356,30.16,2.6,1974
Australia,10,7,0,3,10804,317,21885,34.08,2.96,1975
Australia,4,3,0,1,4896,138,9211,35.47,3.18,1976
Australia,13,10,0,3,13260,438,27764,30.27,2.86,1977
Australia,10,9,0,1,9796,350,21738,27.98,2.7,1978
Australia,14,9,0,5,13729,451,31373,30.44,2.62,1979
Australia,10,6,0,4,9326,295,19846,31.61,2.81,1980
Australia,13,10,0,3,12724,461,26886,27.6,2.83,1981
Australia,12,9,0,3,12046,364,24688,33.09,2.92,1982
Australia,6,2,0,4,6509,164,12249,39.68,3.18,1983
Australia,11,8,0,3,10533,332,20462,31.72,3.08,1984
Australia,11,7,0,4,11545,321,24246,35.96,2.85,1985
Australia,11,3,1,7,10927,264,23202,41.39,2.82,1986
Australia,4,2,0,2,4286,136,10126,31.51,2.53,1987
Australia,8,5,0,3,7825,250,16987,31.3,2.76,1988
Australia,11,6,0,5,12598,319,25721,39.49,2.93,1989
Australia,6,4,0,2,4955,178,11890,27.83,2.5,1990
Australia,10,6,0,4,10183,311,20430,32.74,2.99,1991
Australia,8,4,0,4,8654,274,18715,31.58,2.77,1992
Australia,16,11,0,5,16347,454,34871,36,2.81,1993
Australia,10,7,0,3,10822,341,23826,31.73,2.72,1994
Australia,12,10,0,2,11548,386,23170,29.91,2.99,1995
Australia,5,5,0,0,5235,172,11088,30.43,2.83,1996
Australia,15,12,0,3,14020,486,28281,28.84,2.97,1997
Australia,12,8,0,4,13125,374,26765,35.09,2.94,1998
Australia,14,12,0,2,12868,453,25944,28.4,2.97,1999
Australia,8,8,0,0,7168,260,13689,27.56,3.14,2000
Australia,14,11,0,3,15596,428,27054,36.43,3.45,2001
Australia,11,11,0,0,11455,348,19709,32.91,3.48,2002
Australia,12,11,0,1,14768,364,24884,40.57,3.56,2003
Australia,14,11,0,3,15791,491,28869,32.16,3.28,2004
Australia,15,11,0,4,16777,502,28945,33.42,3.47,2005
Australia,10,10,0,0,11462,317,20431,36.15,3.36,2006
Australia,4,4,0,0,4398,118,7791,37.27,3.38,2007
Australia,14,10,0,4,17540,467,31742,37.55,3.31,2008
Australia,13,10,0,3,15520,424,27140,36.6,3.43,2009
Australia,12,11,0,1,13495,401,24286,33.65,3.33,2010
Australia,9,7,0,2,8766,304,16407,28.83,3.2,2011
Australia,11,8,0,3,12221,347,22648,35.21,3.23,2012
Australia,14,12,0,2,15396,474,28858,32.48,3.2,2013
Australia,9,8,0,1,11469,304,19348,37.72,3.55,2014
Australia,13,11,0,2,14316,395,23392,36.24,3.67,2015
Australia,11,10,0,1,11302,354,20307,31.92,3.33,2016
Australia,11,9,0,2,11349,361,22726,31.43,2.99,2017
Australia,10,9,0,1,10651,363,21485,29.34,2.97,2018
Australia,12,10,0,2,12263,380,22441,32.27,3.27,2019
Australia,3,3,0,0,2418,94,5160,25.72,2.81,2020
Australia,2,1,0,1,2556,68,4945,37.58,3.1,2021
Afganistan,1,1,0,0,686,30,1028,22.86,4,2018
Afganistan,3,3,0,0,2520,104,5091,24.23,2.96,2019
Afganistan,2,2,0,0,1838,58,3570,31.68,3.08,2021
Bangladesh,1,1,0,0,984,31,2139,31.74,2.76,2000
Bangladesh,8,7,0,1,6778,215,12750,31.52,3.18,2001
Bangladesh,8,8,0,0,6763,231,11925,29.27,3.4,2002
Bangladesh,9,9,0,0,7958,273,16030,29.15,2.97,2003
Bangladesh,8,6,0,2,7335,219,13909,33.49,3.16,2004
Bangladesh,6,5,0,1,5389,178,9600,30.27,3.36,2005
Bangladesh,4,4,0,0,4105,123,7316,33.37,3.36,2006
Bangladesh,5,4,0,1,4349,125,7043,34.79,3.7,2007
Bangladesh,9,8,0,1,7483,268,14233,27.92,3.15,2008
Bangladesh,3,3,0,0,3163,112,6012,28.24,3.15,2009
Bangladesh,7,7,0,0,8725,224,14329,38.95,3.65,2010
Bangladesh,5,4,0,1,5405,151,10163,35.79,3.19,2011
Bangladesh,2,2,0,0,2875,63,4727,45.63,3.64,2012
Bangladesh,6,3,0,3,7160,181,13406,39.55,3.2,2013
Bangladesh,7,6,0,1,8163,225,15146,36.28,3.23,2014
Bangladesh,5,1,0,4,4313,102,7294,42.28,3.54,2015
Bangladesh,2,2,0,0,1968,80,3668,24.6,3.21,2016
Bangladesh,9,9,0,0,10427,289,17987,36.07,3.47,2017
Bangladesh,8,7,0,1,7322,275,13580,26.62,3.23,2018
Bangladesh,5,5,0,0,4714,146,7620,32.28,3.71,2019
Bangladesh,2,2,0,0,1860,56,3516,33.21,3.17,2020
Bangladesh,5,4,0,1,6080,159,11617,38.23,3.14,2021
England,2,2,0,0,1417,75,3560,18.89,2.38,1877
England,1,1,0,0,548,30,1198,18.26,2.74,1879
England,1,1,0,0,953,35,1986,27.22,2.87,1880
England,1,0,0,1,1049,33,2769,31.78,2.27,1881
England,5,4,0,1,3280,162,8527,20.24,2.3,1882
England,3,3,0,0,2153,106,5657,20.31,2.28,1883
England,4,2,0,2,3062,111,7128,27.58,2.57,1884
England,4,4,0,0,2866,132,7710,21.71,2.23,1885
England,3,3,0,0,1909,96,5623,19.88,2.03,1886
England,2,2,0,0,984,80,3228,12.3,1.82,1887
England,4,4,0,0,1485,140,3904,10.6,2.28,1888
England,2,2,0,0,810,62,1810,13.06,2.68,1889
England,2,2,0,0,1007,71,3217,14.18,1.87,1890
England,4,4,0,0,3213,139,8911,23.11,2.16,1892
England,3,1,0,2,2561,92,5372,27.83,2.86,1893
England,2,2,0,0,2520,80,5983,31.5,2.52,1894
England,3,3,0,0,2701,102,5797,26.48,2.79,1895
England,6,6,0,0,4066,211,8088,19.27,3.01,1896
England,1,1,0,0,1292,31,2545,41.67,3.04,1897
England,4,4,0,0,4021,126,9257,31.91,2.6,1898
England,7,3,0,4,5916,229,12882,25.83,2.75,1899
England,1,1,0,0,804,30,1895,26.8,2.54,1901
England,9,7,0,2,6615,290,15240,22.81,2.6,1902
England,1,1,0,0,1541,35,3245,44.02,2.84,1903
England,4,4,0,0,3216,157,7200,20.48,2.68,1904
England,5,2,0,3,4650,150,9449,31,2.95,1905
England,5,5,0,0,3959,171,8762,23.15,2.71,1906
England,4,2,0,2,3094,136,6355,22.75,2.92,1907
England,4,4,0,0,4623,159,9779,29.07,2.83,1908
England,5,3,0,2,3669,159,8145,23.07,2.7,1909
England,5,5,0,0,4795,184,9074,26.05,3.17,1910
England,2,2,0,0,2331,72,4652,32.37,3,1911
England,9,7,0,2,6362,267,14120,23.82,2.7,1912
England,2,2,0,0,1537,60,3211,25.61,2.87,1913
England,3,2,0,1,2636,104,5871,25.34,2.69,1914
England,2,2,0,0,2226,68,4570,32.73,2.92,1920
England,8,6,0,2,8143,235,15306,34.65,3.19,1921
England,1,1,0,0,968,40,2022,24.2,2.87,1922
England,4,2,0,2,3615,129,9124,28.02,2.37,1923
England,6,4,0,2,5303,145,11298,36.57,2.81,1924
England,4,4,0,0,5086,150,12209,33.9,2.49,1925
England,5,1,0,4,3909,96,9395,40.71,2.49,1926
England,2,2,0,0,1771,70,4359,25.3,2.43,1927
England,9,8,0,1,9108,286,20904,31.84,2.61,1928
England,7,4,0,3,7837,214,19370,36.62,2.42,1929
England,14,7,0,7,14917,412,32237,36.2,2.77,1930
England,7,1,0,6,5942,174,13465,34.14,2.64,1931
England,3,3,0,0,2686,108,6284,24.87,2.56,1932
England,9,6,0,3,8081,258,17749,31.32,2.73,1933
England,7,4,0,3,7596,218,17195,34.84,2.65,1934
England,9,4,0,5,7562,258,16834,29.31,2.69,1935
England,5,4,0,1,4451,147,9812,30.27,2.72,1936
England,6,4,0,2,6266,206,13724,30.41,2.73,1937
England,6,2,0,4,7037,162,14814,43.43,2.85,1938
England,6,2,0,4,6363,158,14517,40.27,2.62,1939
England,5,3,0,2,4389,135,10244,32.51,2.57,1946
England,9,4,0,5,10638,267,24712,39.84,2.58,1947
England,11,7,0,4,11650,340,27277,34.26,2.56,1948
England,7,1,0,6,7794,192,16839,40.59,2.77,1949
England,6,6,0,0,5616,210,15251,26.74,2.2,1950
England,13,8,0,5,12157,385,31423,31.57,2.32,1951
England,6,5,0,1,4523,171,11251,26.45,2.41,1952
England,5,1,0,4,4363,162,10998,26.93,2.38,1953
England,12,9,0,3,10875,372,26414,29.23,2.47,1954
England,9,8,0,1,7200,302,19739,23.84,2.18,1955
England,6,4,0,2,4291,191,12919,22.46,1.99,1956
England,9,6,0,3,7937,298,22288,26.63,2.13,1957
England,7,6,0,1,4069,201,12185,20.24,2,1958
England,10,8,0,2,8198,293,20467,27.97,2.4,1959
England,10,4,0,6,9565,309,23034,30.95,2.49,1960
England,10,5,0,5,10396,296,24903,35.12,2.5,1961
England,10,6,0,4,10513,290,24409,36.25,2.58,1962
England,11,8,0,3,10527,362,25661,29.08,2.46,1963
England,12,2,0,10,12005,314,30942,38.23,2.32,1964
England,11,4,0,7,12093,324,28444,37.32,2.55,1965
England,11,6,0,5,10718,326,25159,32.87,2.55,1966
England,6,5,0,1,5374,189,13486,28.43,2.39,1967
England,10,3,0,7,10401,309,24744,33.66,2.52,1968
England,9,4,0,5,7650,263,19288,29.08,2.37,1969
England,2,0,0,2,2374,60,6020,39.56,2.36,1970
England,12,5,0,7,11550,356,28955,32.44,2.39,1971
England,7,6,0,1,6135,240,15285,25.56,2.4,1972
England,12,5,0,7,13115,366,30099,35.83,2.61,1973
England,14,7,0,7,13920,413,31740,33.7,2.63,1974
England,9,5,0,4,9193,260,19774,35.35,2.78,1975
England,6,4,0,2,6385,196,12527,32.57,3.05,1976
England,11,7,0,4,9633,357,23050,26.98,2.5,1977
England,14,10,0,4,10976,435,30003,25.23,2.19,1978
England,8,5,0,3,7243,251,17948,28.85,2.42,1979
England,9,4,0,5,7903,259,16505,30.51,2.87,1980
England,13,7,0,6,12371,419,26797,29.52,2.76,1981
England,14,8,0,6,13998,411,28838,34.05,2.91,1982
England,5,4,0,1,5541,188,11815,29.47,2.81,1983
England,15,9,0,6,14599,434,30563,33.63,2.86,1984
England,8,5,0,3,9119,219,17004,41.63,3.21,1985
England,15,10,0,5,14182,452,29483,31.37,2.88,1986
England,9,3,0,6,7578,242,17453,31.31,2.6,1987
England,10,5,0,5,8640,274,19743,31.53,2.62,1988
England,6,4,0,2,6759,171,13297,39.52,3.04,1989
England,12,7,0,5,12768,360,24723,35.46,3.09,1990
England,9,6,0,3,9188,288,18200,31.9,3.02,1991
England,8,5,0,3,7681,235,15695,32.68,2.93,1992
England,10,9,0,1,11607,310,24908,37.44,2.79,1993
England,13,9,0,4,13896,412,28438,33.72,2.93,1994
England,13,6,0,7,12592,383,25612,32.87,2.94,1995
England,9,4,0,5,9172,269,19420,34.09,2.83,1996
England,9,7,0,2,8534,293,17527,29.12,2.92,1997
England,16,11,0,5,14711,490,32383,30.02,2.72,1998
England,8,5,0,3,7085,249,15448,28.45,2.75,1999
England,12,8,0,4,9561,350,21274,27.31,2.69,2000
England,13,11,0,2,12538,397,24263,31.58,3.1,2001
England,14,10,0,4,16185,418,28640,38.72,3.39,2002
England,13,10,0,3,14351,423,27374,33.92,3.14,2003
England,13,11,0,2,14918,417,26179,35.77,3.41,2004
England,13,9,0,4,14668,436,24447,33.64,3.59,2005
England,14,11,0,3,15786,448,29132,35.23,3.25,2006
England,11,6,0,5,12303,339,21931,36.29,3.36,2007
England,12,9,0,3,12979,385,25027,33.71,3.11,2008
England,14,7,0,7,15259,389,26623,39.22,3.43,2009
England,14,12,0,2,14496,441,26272,32.87,3.31,2010
England,8,6,0,2,9358,235,15963,39.82,3.51,2011
England,15,12,0,3,15467,473,31616,32.69,2.93,2012
England,14,9,0,5,14902,468,28746,31.84,3.11,2013
England,8,6,0,2,8960,275,16132,32.58,3.33,2014
England,14,12,0,2,16025,486,28817,32.97,3.33,2015
England,17,14,0,3,18992,548,34708,34.65,3.28,2016
England,11,10,0,1,11632,370,21697,31.43,3.21,2017
England,13,12,0,1,13182,449,24635,29.35,3.21,2018
England,12,10,0,2,11965,413,22684,28.97,3.16,2019
England,9,7,0,2,8600,280,16824,30.71,3.06,2020
England,8,7,0,1,7142,268,14101,26.64,3.03,2021
India,1,1,0,0,910,38,2206,23.94,2.47,1932
India,1,1,0,0,955,31,1958,30.8,2.92,1933
India,2,1,0,1,1884,67,4198,28.11,2.69,1934
India,3,2,0,1,2715,83,5087,32.71,3.2,1936
India,3,1,0,2,2146,77,5125,27.87,2.51,1946
India,2,1,0,1,894,55,2716,16.25,1.97,1947
India,6,3,0,3,7209,168,15402,42.91,2.8,1948
India,2,1,0,1,2072,67,4479,30.92,2.77,1949
India,3,0,0,3,3234,78,8531,41.46,2.27,1951
India,11,8,0,3,8113,298,20546,27.22,2.36,1952
India,5,1,0,4,5585,155,14866,36.03,2.25,1953
India,9,1,0,8,7435,228,21820,32.6,2.04,1955
India,4,3,0,1,3260,112,8739,29.1,2.23,1956
India,3,2,0,1,3010,91,6617,33.07,2.72,1958
India,9,8,0,1,8230,286,19582,28.77,2.52,1959
India,6,1,0,5,5148,159,13798,32.37,2.23,1960
India,6,1,0,5,6322,151,15278,41.86,2.48,1961
India,6,6,0,0,6065,200,14867,30.32,2.44,1962
India,8,2,0,6,8358,232,21633,36.02,2.31,1964
India,4,1,0,3,4098,117,9203,35.02,2.67,1965
India,2,2,0,0,1960,64,4494,30.62,2.61,1966
India,6,5,0,1,6587,204,14080,32.28,2.8,1967
India,6,6,0,0,6202,216,14870,28.71,2.5,1968
India,8,6,0,2,6389,276,18159,23.14,2.11,1969
India,8,2,0,6,8612,245,20632,35.15,2.5,1971
India,2,2,0,0,1516,74,4277,20.48,2.12,1972
India,3,1,0,2,2982,88,7273,33.88,2.46,1973
India,6,6,0,0,5787,187,11820,30.94,2.93,1974
India,2,2,0,0,2209,69,4495,32.01,2.94,1975
India,11,8,0,3,10171,316,23791,32.18,2.56,1976
India,7,6,0,1,6664,261,15355,25.53,2.6,1977
India,8,4,0,4,9491,228,18974,41.62,3,1978
India,17,5,0,12,16054,461,33606,34.82,2.86,1979
India,3,2,0,1,2785,90,5304,30.94,3.15,1980
India,9,4,0,5,8293,274,18819,30.26,2.64,1981
India,9,2,0,7,8980,221,17154,40.63,3.14,1982
India,18,7,0,11,16687,461,33103,36.19,3.02,1983
India,5,2,0,3,4986,121,11391,41.2,2.62,1984
India,7,2,0,5,7510,198,15666,37.92,2.87,1985
India,9,3,1,5,8766,228,17991,38.44,2.92,1986
India,9,3,0,6,8260,242,17706,34.13,2.79,1987
India,4,4,0,0,3473,138,7616,25.16,2.73,1988
India,8,3,0,5,7900,212,15613,37.26,3.03,1989
India,7,3,0,4,8170,175,14937,46.68,3.28,1990
India,2,2,0,0,1746,62,3854,28.16,2.71,1991
India,7,3,0,4,6634,214,16473,31,2.41,1992
India,8,5,0,3,7409,204,17101,36.31,2.59,1993
India,7,5,0,2,7240,219,14737,33.05,2.94,1994
India,3,1,0,2,1372,50,2993,27.44,2.75,1995
India,8,6,0,2,7726,272,16411,28.4,2.82,1996
India,12,2,0,10,12272,299,24960,41.04,2.95,1997
India,5,5,0,0,5504,167,11045,32.95,2.98,1998
India,10,6,0,4,11056,330,22517,33.5,2.94,1999
India,6,5,0,1,6301,168,12719,37.5,2.97,2000
India,13,10,0,3,13344,402,26300,33.19,3.04,2001
India,16,11,0,5,16133,475,32415,33.96,2.98,2002
India,5,2,0,3,6415,139,11713,46.15,3.28,2003
India,12,9,0,3,13186,371,23816,35.54,3.32,2004
India,8,6,0,2,8769,250,15608,35.07,3.37,2005
India,12,6,0,6,13837,381,24402,36.31,3.4,2006
India,10,5,0,5,11792,315,20953,37.43,3.37,2007
India,15,10,0,5,17829,472,32107,37.77,3.33,2008
India,6,3,0,3,7974,168,13403,47.46,3.56,2009
India,14,11,0,3,16867,421,29489,40.06,3.43,2010
India,12,8,0,4,13536,407,24790,33.25,3.27,2011
India,9,8,0,1,9457,266,18046,35.55,3.14,2012
India,8,7,0,1,8466,256,15763,33.07,3.22,2013
India,10,7,0,3,12185,333,20816,36.59,3.51,2014
India,9,6,0,3,8046,289,15535,27.84,3.1,2015
India,12,9,0,3,12725,353,24330,36.04,3.13,2016
India,11,8,0,3,11923,344,21722,34.65,3.29,2017
India,14,14,0,0,13305,506,25493,26.29,3.13,2018
India,8,7,0,1,7609,227,13440,33.51,3.39,2019
India,4,4,0,0,2801,126,5902,22.23,2.84,2020
Ireland,1,1,0,0,939,34,1907,27.61,2.95,2018
Ireland,2,2,0,0,1556,73,2897,21.31,3.22,2019
New Zealand,4,1,0,3,2896,88,5990,32.9,2.9,1930
New Zealand,3,1,0,2,2323,61,4820,38.08,2.89,1931
New Zealand,2,2,0,0,2007,62,4007,32.37,3,1932
New Zealand,2,0,0,2,1540,34,3007,45.29,3.07,1933
New Zealand,3,1,0,2,2801,98,5946,28.58,2.82,1937
New Zealand,1,1,0,0,295,28,872,10.53,2.02,1946
New Zealand,1,0,0,1,610,16,1114,38.12,3.28,1947
New Zealand,4,0,0,4,4494,105,8530,42.8,3.16,1949
New Zealand,2,1,0,1,1645,55,4059,29.9,2.43,1951
New Zealand,2,1,0,1,1577,52,4000,30.32,2.36,1952
New Zealand,4,3,0,1,3243,124,9379,26.15,2.07,1953
New Zealand,3,2,0,1,2425,89,7326,27.24,1.98,1954
New Zealand,9,5,0,4,7177,235,20163,30.54,2.13,1955
New Zealand,5,5,0,0,3775,150,10541,25.16,2.14,1956
New Zealand,5,4,0,1,2708,137,7785,19.76,2.08,1958
New Zealand,2,1,0,1,1141,47,2969,24.27,2.3,1959
New Zealand,2,1,0,1,1740,70,3816,24.85,2.73,1961
New Zealand,3,3,0,0,2965,109,6804,27.2,2.61,1962
New Zealand,3,3,0,0,2569,88,6184,29.19,2.49,1963
New Zealand,3,0,0,3,2488,94,6845,26.46,2.18,1964
New Zealand,13,6,0,7,12285,389,29150,31.58,2.52,1965
New Zealand,3,0,0,3,2337,93,6462,25.12,2.16,1966
New Zealand,4,4,0,0,3821,136,8978,28.09,2.55,1968
New Zealand,12,7,0,5,10078,398,26057,25.32,2.32,1969
New Zealand,2,1,0,1,1550,59,4059,26.27,2.29,1971
New Zealand,5,0,0,5,5536,125,13938,44.28,2.38,1972
New Zealand,7,4,0,3,7180,209,16019,34.35,2.68,1973
New Zealand,5,3,0,2,4965,160,11043,31.03,2.69,1974
New Zealand,2,1,0,1,1717,37,3778,46.4,2.72,1975
New Zealand,9,6,0,3,9200,277,20513,33.21,2.69,1976
New Zealand,2,1,0,1,2165,62,4343,34.91,2.99,1977
New Zealand,6,5,0,1,4995,198,13752,25.22,2.17,1978
New Zealand,3,1,0,2,2958,87,6985,34,2.54,1979
New Zealand,6,3,0,3,5028,195,11109,25.78,2.71,1980
New Zealand,3,1,0,2,2412,89,6525,27.1,2.21,1981
New Zealand,3,2,0,1,2180,75,4835,29.06,2.7,1982
New Zealand,6,6,0,0,5625,215,12374,26.16,2.72,1983
New Zealand,9,5,0,4,7929,271,17786,29.25,2.67,1984
New Zealand,10,7,0,3,9445,302,20939,31.27,2.7,1985
New Zealand,6,2,0,4,5230,150,12070,34.86,2.59,1986
New Zealand,7,3,0,4,6558,200,14983,32.79,2.62,1987
New Zealand,6,3,0,3,4968,169,12288,29.39,2.42,1988
New Zealand,3,0,0,3,3263,69,7658,47.28,2.55,1989
New Zealand,10,6,0,4,9026,275,18752,32.82,2.88,1990
New Zealand,3,0,0,3,3886,90,7757,43.17,3,1991
New Zealand,7,4,0,3,6895,203,15015,33.96,2.75,1992
New Zealand,7,5,0,2,6633,208,14467,31.88,2.75,1993
New Zealand,9,6,0,3,8753,285,18300,30.71,2.86,1994
New Zealand,10,6,0,4,8154,273,17997,29.86,2.71,1995
New Zealand,6,3,0,3,6155,189,12042,32.56,3.06,1996
New Zealand,10,6,0,4,10428,328,22274,31.79,2.8,1997
New Zealand,6,6,0,0,5672,202,12218,28.07,2.78,1998
New Zealand,13,7,0,6,12593,358,27517,35.17,2.74,1999
New Zealand,9,7,0,2,8493,272,19014,31.22,2.68,2000
New Zealand,8,4,0,4,7677,208,14013,36.9,3.28,2001
New Zealand,8,6,0,2,7196,264,13791,27.25,3.13,2002
New Zealand,6,1,0,5,6592,160,13924,41.2,2.84,2003
New Zealand,10,9,0,1,11426,305,21617,37.46,3.17,2004
New Zealand,7,5,0,2,6930,201,12258,34.47,3.39,2005
New Zealand,8,6,0,2,6893,246,12724,28.02,3.25,2006
New Zealand,2,2,0,0,1645,60,2890,27.41,3.41,2007
New Zealand,14,10,0,4,12909,444,25699,29.07,3.01,2008
New Zealand,8,5,0,3,9622,267,17933,36.03,3.21,2009
New Zealand,6,4,0,2,7444,182,13415,40.9,3.32,2010
New Zealand,5,4,0,1,4982,174,9917,28.63,3.01,2011
New Zealand,10,8,0,2,9408,312,18155,30.15,3.1,2012
