Team,Mat,Won,Tied,Draw,Runs,Wkts,Balls,Ave,RPO,Year
New Zealand,12,6,0,6,11989,361,23036,33.21,3.12,2013
New Zealand,9,7,0,2,10965,294,19646,37.29,3.34,2014
New Zealand,8,7,0,1,10366,274,16989,37.83,3.66,2015
New Zealand,11,10,0,1,11100,332,20647,33.43,3.22,2016
New Zealand,7,5,0,2,7136,210,12915,33.98,3.31,2017
New Zealand,7,5,0,2,6999,223,14803,31.38,2.83,2018
New Zealand,8,7,0,1,8346,236,15790,35.36,3.17,2019
New Zealand,6,6,0,0,5442,184,10554,29.57,3.09,2020
New Zealand,4,3,0,1,3764,119,7519,31.63,3,2021
Pakistan,5,3,0,2,3590,127,9295,28.26,2.31,1952
Pakistan,4,2,0,2,2356,110,5735,21.41,2.46,1954
Pakistan,8,2,0,6,5775,229,17848,25.21,1.94,1955
Pakistan,1,1,0,0,535,31,1819,17.25,1.76,1956
Pakistan,5,4,0,1,6374,150,13393,42.49,2.85,1958
Pakistan,6,5,0,1,4620,194,11763,23.81,2.35,1959
Pakistan,3,0,0,3,2598,73,7042,35.58,2.21,1960
Pakistan,3,1,0,2,3237,81,7759,39.96,2.5,1961
Pakistan,7,4,0,3,6840,187,15740,36.57,2.6,1962
Pakistan,2,0,0,2,2421,62,5161,39.04,2.81,1964
Pakistan,6,2,0,4,5175,185,13141,27.97,2.36,1965
Pakistan,3,2,0,1,2506,92,6732,27.23,2.23,1967
Pakistan,6,1,0,5,4541,166,11867,27.35,2.29,1969
Pakistan,3,1,0,2,2831,73,6710,38.78,2.53,1971
Pakistan,2,2,0,0,2696,62,4857,43.48,3.33,1972
Pakistan,7,2,0,5,7590,208,16502,36.49,2.75,1973
Pakistan,3,0,0,3,2777,86,6167,32.29,2.7,1974
Pakistan,2,0,0,2,2200,59,4657,37.28,2.83,1975
Pakistan,4,2,0,2,5027,128,10055,39.27,2.99,1976
Pakistan,8,5,0,3,8832,271,17328,32.59,3.05,1977
Pakistan,8,4,0,4,7347,204,15897,36.01,2.77,1978
Pakistan,9,4,0,5,8531,278,19277,30.68,2.65,1979
Pakistan,9,3,0,6,7602,249,16122,30.53,2.82,1980
Pakistan,3,3,0,0,2869,95,6006,30.2,2.86,1981
Pakistan,11,9,0,2,10928,336,21435,32.52,3.05,1982
Pakistan,11,3,0,8,10567,254,20827,41.6,3.04,1983
Pakistan,9,4,0,5,8845,251,18988,35.23,2.79,1984
Pakistan,6,4,0,2,5250,166,10857,31.62,2.9,1985
Pakistan,6,4,0,2,4000,189,9148,21.16,2.62,1986
Pakistan,13,3,0,10,11120,333,25470,33.39,2.61,1987
Pakistan,6,3,0,3,5895,199,12491,29.62,2.83,1988
Pakistan,6,0,0,6,6593,139,13562,47.43,2.91,1989
Pakistan,9,6,0,3,7509,282,16180,26.62,2.78,1990
Pakistan,2,0,0,2,939,22,2151,42.68,2.61,1991
Pakistan,6,4,0,2,5320,174,10296,30.57,3.1,1992
Pakistan,7,5,0,2,5907,226,12035,26.13,2.94,1993
Pakistan,8,6,0,2,8320,257,14742,32.37,3.38,1994
Pakistan,11,11,0,0,10488,389,22083,26.96,2.84,1995
Pakistan,7,5,0,2,7121,218,13777,32.66,3.1,1996
Pakistan,8,4,0,4,7290,224,14554,32.54,3,1997
Pakistan,10,5,0,5,9579,299,19549,32.03,2.93,1998
Pakistan,8,7,0,1,8588,276,15748,31.11,3.27,1999
Pakistan,12,7,0,5,11327,359,24779,31.55,2.74,2000
Pakistan,6,5,0,1,5882,171,11094,34.39,3.18,2001
Pakistan,12,12,0,0,11408,390,20568,29.25,3.32,2002
Pakistan,8,6,0,2,8441,256,16695,32.97,3.03,2003
Pakistan,7,7,0,0,7819,226,13803,34.59,3.39,2004
Pakistan,9,7,0,2,11701,315,19739,37.14,3.55,2005
Pakistan,12,7,0,5,14413,350,24015,41.18,3.6,2006
Pakistan,8,5,0,3,9317,258,17266,36.11,3.23,2007
Pakistan,9,5,0,4,9830,278,17993,35.35,3.27,2009
Pakistan,10,8,0,2,9980,338,18671,29.52,3.2,2010
Pakistan,10,7,0,3,10328,319,21827,32.37,2.83,2011
Pakistan,6,4,0,2,5707,197,11914,28.96,2.87,2012
Pakistan,8,7,0,1,7872,267,16174,29.48,2.92,2013
Pakistan,9,8,0,1,11101,285,21058,38.95,3.16,2014
Pakistan,8,6,0,2,9534,261,17644,36.52,3.24,2015
Pakistan,11,11,0,0,12383,364,22638,34.01,3.28,2016
Pakistan,6,6,0,0,6453,221,13463,29.19,2.87,2017
Pakistan,9,8,0,1,8179,302,16748,27.08,2.93,2018
Pakistan,6,5,0,1,6042,165,10005,36.61,3.62,2019
Pakistan,5,3,0,2,4347,138,8811,31.5,2.96,2020
Pakistan,5,5,0,0,4729,156,9147,30.31,3.1,2021
Sri Lanka,5,3,0,2,5380,162,9831,33.2,3.28,1982
Sri Lanka,3,3,0,0,2321,88,4618,26.37,3.01,1983
Sri Lanka,4,2,0,2,3585,124,8027,28.91,2.67,1984
Sri Lanka,6,3,0,3,5524,174,11355,31.74,2.91,1985
Sri Lanka,5,3,0,2,3863,127,7455,30.41,3.1,1986
Sri Lanka,2,1,0,1,1536,44,3597,34.9,2.56,1987
Sri Lanka,2,2,0,0,1856,63,3752,29.46,2.96,1988
Sri Lanka,2,1,0,1,2461,61,4848,40.34,3.04,1989
Sri Lanka,1,1,0,0,568,30,1700,18.93,2,1990
Sri Lanka,6,1,0,5,5980,145,12019,41.24,2.98,1991
Sri Lanka,6,3,0,3,5811,181,12248,32.1,2.84,1992
Sri Lanka,8,3,0,5,6746,206,15108,32.74,2.67,1993
Sri Lanka,8,5,0,3,6807,213,15016,31.95,2.71,1994
Sri Lanka,7,6,0,1,7059,228,15253,30.96,2.77,1995
Sri Lanka,3,3,0,0,2663,93,5903,28.63,2.7,1996
Sri Lanka,11,3,0,8,11861,310,23253,38.26,3.06,1997
Sri Lanka,8,8,0,0,8230,275,17752,29.92,2.78,1998
Sri Lanka,9,3,0,6,7634,233,15971,32.76,2.86,1999
Sri Lanka,10,7,0,3,9389,322,19873,29.15,2.83,2000
Sri Lanka,13,13,0,0,12415,387,25178,32.08,2.95,2001
Sri Lanka,10,9,0,1,10202,304,19531,33.55,3.13,2002
Sri Lanka,7,2,0,5,7062,205,15181,34.44,2.79,2003
Sri Lanka,11,9,0,2,12643,388,23362,32.58,3.24,2004
Sri Lanka,9,7,0,2,8052,277,14556,29.06,3.31,2005
Sri Lanka,11,9,0,2,11125,360,20538,30.9,3.25,2006
Sri Lanka,8,6,0,2,8161,211,14709,38.67,3.32,2007
Sri Lanka,6,6,0,0,6717,203,12123,33.08,3.32,2008
Sri Lanka,11,7,0,4,13347,320,22572,41.7,3.54,2009
Sri Lanka,6,2,0,4,6295,133,10819,47.33,3.49,2010
Sri Lanka,11,5,0,6,11320,329,22034,34.4,3.08,2011
Sri Lanka,10,8,0,2,10299,313,20021,32.9,3.08,2012
Sri Lanka,4,2,0,2,4994,113,9041,44.19,3.31,2013
Sri Lanka,11,8,0,3,13674,368,25847,37.15,3.17,2014
Sri Lanka,11,11,0,0,11512,387,21279,29.74,3.24,2015
Sri Lanka,9,8,0,1,9347,316,17182,29.57,3.26,2016
Sri Lanka,13,11,0,2,14625,432,26157,33.85,3.35,2017
Sri Lanka,12,9,0,3,12274,417,22630,29.43,3.25,2018
Sri Lanka,8,7,0,1,7045,227,12815,31.03,3.29,2019
Sri Lanka,3,2,0,1,3404,87,6606,39.12,3.09,2020
Sri Lanka,7,4,0,3,7434,210,14273,35.4,3.12,2021
Zimbabwe,3,1,0,2,2889,77,6655,37.51,2.6,1992
Zimbabwe,4,3,0,1,3521,119,7737,29.58,2.73,1993
Zimbabwe,3,0,0,3,2441,64,6415,38.14,2.28,1994
Zimbabwe,4,4,0,0,3435,129,7325,26.62,2.81,1995
Zimbabwe,8,3,0,5,7121,231,15632,30.82,2.73,1996
Zimbabwe,2,0,0,2,2486,73,5236,34.05,2.84,1997
Zimbabwe,9,7,0,2,8376,284,17812,29.49,2.82,1998
Zimbabwe,6,4,0,2,4847,174,11331,27.85,2.56,1999
Zimbabwe,9,6,0,3,8752,256,19852,34.18,2.64,2000
Zimbabwe,11,8,0,3,11114,305,23100,36.43,2.88,2001
Zimbabwe,6,6,0,0,5963,195,12349,30.57,2.89,2002
Zimbabwe,6,5,0,1,6398,192,11693,33.32,3.28,2003
Zimbabwe,4,3,0,1,3575,103,6471,34.7,3.31,2004
Zimbabwe,8,7,0,1,7114,243,13059,29.27,3.26,2005
Zimbabwe,3,3,0,0,3621,106,7238,34.16,3,2011
Zimbabwe,1,1,0,0,689,27,1206,25.51,3.42,2012
Zimbabwe,6,6,0,0,5529,214,11496,25.83,2.88,2013
Zimbabwe,4,4,0,0,4245,142,8598,29.89,2.96,2014
Zimbabwe,4,4,0,0,4887,127,9022,38.48,3.25,2016
Zimbabwe,4,3,0,1,4110,132,8177,31.13,3.01,2017
Zimbabwe,2,2,0,0,2049,71,4200,28.85,2.92,2018
Zimbabwe,3,2,0,1,3221,85,6808,37.89,2.83,2020
Zimbabwe,5,5,0,0,4731,146,9057,32.4,3.13,2021
West Indies,3,3,0,0,2221,89,4676,24.95,2.84,1928
West Indies,5,3,0,2,6627,175,14339,37.86,2.77,1930
West Indies,4,4,0,0,2917,117,6151,24.93,2.84,1931
West Indies,3,2,0,1,2146,89,4605,24.11,2.79,1933
West Indies,4,3,0,1,2839,121,6771,23.46,2.51,1935
West Indies,3,1,0,2,2690,77,5275,34.93,3.05,1939
West Indies,7,2,0,5,7909,204,17507,38.76,2.71,1948
West Indies,2,1,0,1,2072,67,4479,30.92,2.77,1949
West Indies,4,4,0,0,4444,136,12310,32.67,2.16,1950
West Indies,4,4,0,0,3855,143,9369,26.95,2.46,1951
West Indies,3,2,0,1,2361,92,5973,25.66,2.37,1952
West Indies,5,1,0,4,5585,155,14866,36.03,2.25,1953
West Indies,5,4,0,1,5797,154,14070,37.64,2.47,1954
West Indies,5,3,0,2,6198,148,12696,41.87,2.92,1955
West Indies,4,4,0,0,2810,129,7904,21.78,2.13,1956
West Indies,5,3,0,2,4689,146,11513,32.11,2.44,1957
West Indies,8,6,0,2,9384,241,20010,38.93,2.81,1958
West Indies,5,4,0,1,4477,161,10516,27.8,2.55,1959
West Indies,7,2,1,4,7821,222,18305,35.22,2.56,1960
West Indies,3,2,0,1,3799,113,9282,33.61,2.45,1961
West Indies,5,5,0,0,4957,160,12217,30.98,2.43,1962
West Indies,5,4,0,1,4859,176,11336,27.6,2.57,1963
West Indies,5,3,0,2,5586,164,12053,34.06,2.78,1965
West Indies,7,6,0,1,7338,217,16308,33.81,2.69,1966
West Indies,1,0,0,1,1403,37,2844,37.91,2.95,1967
West Indies,7,3,0,4,7889,222,17932,35.53,2.63,1968
West Indies,9,6,0,3,10780,305,23469,35.34,2.75,1969
West Indies,5,1,0,4,5837,145,13595,40.25,2.57,1971
West Indies,5,0,0,5,5536,125,13938,44.28,2.38,1972
West Indies,8,4,0,4,8834,242,19769,36.5,2.68,1973
West Indies,8,5,0,3,8368,244,18664,34.29,2.69,1974
West Indies,7,5,0,2,7737,222,15041,34.85,3.08,1975
West Indies,12,9,0,3,12899,371,24959,34.76,3.1,1976
West Indies,5,3,0,2,5932,181,11126,32.77,3.19,1977
West Indies,8,4,0,4,8339,249,16108,33.48,3.1,1978
West Indies,5,2,0,3,4803,132,9027,36.38,3.19,1979
West Indies,13,4,0,9,10710,398,22692,26.9,2.83,1980
West Indies,5,3,0,2,4547,154,9973,29.52,2.73,1981
West Indies,2,1,0,1,2358,69,4907,34.17,2.88,1982
West Indies,11,5,0,6,10392,310,20466,33.52,3.04,1983
West Indies,15,12,0,3,14461,465,27565,31.09,3.14,1984
West Indies,4,2,0,2,3767,114,7649,33.04,2.95,1985
West Indies,8,7,0,1,6344,260,12649,24.4,3,1986
West Indies,6,3,0,3,5454,171,10949,31.89,2.98,1987
West Indies,12,10,0,2,11637,401,22543,29.01,3.09,1988
West Indies,6,4,0,2,5800,177,12331,32.76,2.82,1989
West Indies,7,5,0,2,6142,234,12038,26.24,3.06,1990
West Indies,10,7,0,3,9626,316,19341,30.46,2.98,1991
West Indies,3,2,0,1,3186,118,7109,27,2.68,1992
West Indies,7,4,0,3,5775,205,11181,28.17,3.09,1993
West Indies,8,6,0,2,9158,257,17796,35.63,3.08,1994
West Indies,12,8,0,4,10931,351,20999,31.14,3.12,1995
West Indies,5,4,0,1,5414,166,11082,32.61,2.93,1996
West Indies,12,7,0,5,9970,336,19819,29.67,3.01,1997
West Indies,9,7,0,2,6996,276,15794,25.34,2.65,1998
West Indies,8,8,0,0,7977,277,16913,28.79,2.82,1999
West Indies,14,11,0,3,11082,452,24914,24.51,2.66,2000
West Indies,11,8,0,3,11796,365,26301,32.31,2.69,2001
West Indies,14,10,0,4,13940,433,28971,32.19,2.88,2002
West Indies,10,8,0,2,12058,317,21252,38.03,3.4,2003
West Indies,12,9,0,3,13778,357,23632,38.59,3.49,2004
West Indies,11,9,0,2,11793,344,22019,34.28,3.21,2005
West Indies,10,5,0,5,10384,297,19611,34.96,3.17,2006
West Indies,5,4,0,1,5584,161,9216,34.68,3.63,2007
West Indies,9,6,0,3,10186,285,18586,35.74,3.28,2008
West Indies,12,7,0,5,12736,345,22866,36.91,3.34,2009
West Indies,6,2,0,4,5265,139,10080,37.87,3.13,2010
West Indies,10,6,0,4,10304,342,20085,30.12,3.07,2011
West Indies,10,8,0,2,10926,315,20885,34.68,3.13,2012
West Indies,7,6,0,1,6213,214,11002,29.03,3.38,2013
West Indies,7,6,0,1,7015,203,13333,34.55,3.15,2014
West Indies,10,9,0,1,10056,313,18774,32.12,3.21,2015
West Indies,8,5,0,3,7148,204,13798,35.03,3.1,2016
West Indies,10,9,0,1,10054,336,20122,29.92,2.99,2017
West Indies,9,8,0,1,7650,305,14014,25.08,3.27,2018
West Indies,6,6,0,0,5203,203,10140,25.63,3.07,2019
West Indies,5,5,0,0,4851,155,8910,31.29,3.26,2020
West Indies,6,4,0,2,5946,204,12405,29.14,2.87,2021
South Africa,2,2,0,0,810,62,1810,13.06,2.68,1889
South Africa,1,1,0,0,549,30,1137,18.3,2.89,1892
South Africa,3,3,0,0,1798,100,3312,17.98,3.25,1896
South Africa,2,2,0,0,1366,80,3017,17.07,2.71,1899
South Africa,3,2,0,1,2653,101,3870,26.26,4.11,1902
South Africa,5,5,0,0,3959,171,8762,23.15,2.71,1906
South Africa,3,1,0,2,1946,98,4101,19.85,2.84,1907
South Africa,7,7,0,0,6998,254,12608,27.55,3.33,1910
South Africa,3,3,0,0,4051,112,6821,36.16,3.56,1911
South Africa,6,5,0,1,4006,180,8540,22.25,2.81,1912
South Africa,2,2,0,0,1537,60,3211,25.61,2.87,1913
South Africa,3,2,0,1,2636,104,5871,25.34,2.69,1914
South Africa,3,1,0,2,3004,92,6057,32.65,2.97,1921
South Africa,1,1,0,0,968,40,2022,24.2,2.87,1922
South Africa,4,2,0,2,3615,129,9124,28.02,2.37,1923
South Africa,5,3,0,2,3692,105,7659,35.16,2.89,1924
South Africa,2,2,0,0,1771,70,4359,25.3,2.43,1927
South Africa,3,2,0,1,3037,95,6463,31.96,2.81,1928
South Africa,5,2,0,3,4861,139,10952,34.97,2.66,1929
South Africa,1,1,0,0,836,40,1700,20.9,2.95,1930
South Africa,7,3,0,4,6474,213,15740,30.39,2.46,1931
South Africa,4,4,0,0,3409,121,7191,28.17,2.84,1932
South Africa,7,2,0,5,6956,200,14854,34.78,2.8,1935
South Africa,3,3,0,0,2244,88,5072,25.5,2.65,1936
South Africa,2,0,0,2,2257,46,5311,49.06,2.54,1938
South Africa,3,1,0,2,3673,81,9242,45.34,2.38,1939
South Africa,5,3,0,2,6031,152,14453,39.67,2.5,1947
South Africa,2,1,0,1,1954,60,4925,32.56,2.38,1948
South Africa,5,3,0,2,5265,146,12780,36.06,2.47,1949
South Africa,3,2,0,1,2736,82,6593,33.36,2.48,1950
South Africa,5,4,0,1,4336,154,11602,28.15,2.24,1951
South Africa,2,2,0,0,2166,80,5734,27.07,2.26,1952
South Africa,7,5,0,2,6879,216,18309,31.84,2.25,1953
South Africa,3,2,0,1,2425,89,7326,27.24,1.98,1954
South Africa,5,5,0,0,4631,184,12873,25.16,2.15,1955
South Africa,1,1,0,0,705,40,2464,17.62,1.71,1956
South Africa,6,4,0,2,5206,214,16134,24.32,1.93,1957
South Africa,3,2,0,1,2359,89,7988,26.5,1.77,1958
South Africa,5,3,0,2,4050,160,9746,25.31,2.49,1960
South Africa,2,1,0,1,1740,70,3816,24.85,2.73,1961
South Africa,3,3,0,0,2965,109,6804,27.2,2.61,1962
South Africa,1,0,0,1,938,22,2334,42.63,2.41,1963
South Africa,9,3,0,6,9460,271,23211,34.9,2.44,1964
South Africa,6,1,0,5,6825,188,16442,36.3,2.49,1965
South Africa,2,2,0,0,2847,74,6239,38.47,2.73,1966
South Africa,3,2,0,1,2495,92,6155,27.11,2.43,1967
South Africa,4,4,0,0,4479,147,9667,30.46,2.77,1970
South Africa,4,2,0,2,3514,126,8754,27.88,2.4,1992
South Africa,5,1,0,4,4097,122,10228,33.58,2.4,1993
South Africa,10,8,0,2,10117,334,22800,30.29,2.66,1994
South Africa,8,4,0,4,7217,229,15976,31.51,2.71,1995
South Africa,5,5,0,0,4301,180,9219,23.89,2.79,1996
South Africa,9,5,0,4,8531,279,17928,30.57,2.85,1997
South Africa,15,11,0,4,14061,495,29918,28.4,2.81,1998
South Africa,10,6,0,4,9774,274,21125,35.67,2.77,1999
South Africa,11,8,0,3,9259,326,20959,28.4,2.65,2000
South Africa,13,9,0,4,13474,410,28931,32.86,2.79,2001
South Africa,9,9,0,0,9021,274,15809,32.92,3.42,2002
South Africa,12,10,0,2,13845,365,24716,37.93,3.36,2003
South Africa,11,6,0,5,13657,333,25800,41.01,3.17,2004
South Africa,11,7,0,4,12165,322,23141,37.77,3.15,2005
South Africa,11,10,0,1,12081,370,21359,32.65,3.39,2006
South Africa,9,8,0,1,9131,303,17409,30.13,3.14,2007
South Africa,15,13,0,2,15651,444,28205,35.25,3.32,2008
South Africa,6,5,0,1,7311,201,13962,36.37,3.14,2009
South Africa,11,7,0,4,12139,317,22615,38.29,3.22,2010
South Africa,5,4,0,1,4874,173,8784,28.17,3.32,2011
South Africa,10,5,0,5,11769,299,21382,39.36,3.3,2012
South Africa,9,8,0,1,8605,284,16844,30.29,3.06,2013
South Africa,8,6,0,2,8311,243,15962,34.2,3.12,2014
South Africa,8,5,0,3,5492,225,11970,24.4,2.75,2015
South Africa,9,7,0,2,8830,270,16120,32.7,3.28,2016
South Africa,12,10,0,2,11177,389,19940,28.73,3.36,2017
South Africa,10,10,0,0,9286,379,17489,24.5,3.18,2018
South Africa,8,8,0,0,7967,266,13459,29.95,3.55,2019
South Africa,4,4,0,0,4378,135,8081,32.42,3.25,2020
South Africa,5,5,0,0,4082,172,8112,23.73,3.01,2021
All,2,2,0,0,1417,75,3560,18.89,2.38,1877
All,1,1,0,0,548,30,1198,18.26,2.74,1879
All,1,1,0,0,953,35,1986,27.22,2.87,1880
All,1,0,0,1,1049,33,2769,31.78,2.27,1881
All,5,4,0,1,3280,162,8527,20.24,2.3,1882
All,3,3,0,0,2153,106,5657,20.31,2.28,1883
All,4,2,0,2,3062,111,7128,27.58,2.57,1884
All,4,4,0,0,2866,132,7710,21.71,2.23,1885
All,3,3,0,0,1909,96,5623,19.88,2.03,1886
All,2,2,0,0,984,80,3228,12.3,1.82,1887
All,4,4,0,0,1485,140,3904,10.6,2.28,1888
All,2,2,0,0,810,62,1810,13.06,2.68,1889
All,2,2,0,0,1007,71,3217,14.18,1.87,1890
All,4,4,0,0,3213,139,8911,23.11,2.16,1892
All,3,1,0,2,2561,92,5372,27.83,2.86,1893
All,2,2,0,0,2520,80,5983,31.5,2.52,1894
All,3,3,0,0,2701,102,5797,26.48,2.79,1895
All,6,6,0,0,4066,211,8088,19.27,3.01,1896
All,1,1,0,0,1292,31,2545,41.67,3.04,1897
All,4,4,0,0,4021,126,9257,31.91,2.6,1898
All,7,3,0,4,5916,229,12882,25.83,2.75,1899
All,1,1,0,0,804,30,1895,26.8,2.54,1901
All,12,9,0,3,9268,391,19110,23.7,2.9,1902
All,1,1,0,0,1541,35,3245,44.02,2.84,1903
All,4,4,0,0,3216,157,7200,20.48,2.68,1904
All,5,2,0,3,4650,150,9449,31,2.95,1905
All,5,5,0,0,3959,171,8762,23.15,2.71,1906
All,4,2,0,2,3094,136,6355,22.75,2.92,1907
All,4,4,0,0,4623,159,9779,29.07,2.83,1908
All,5,3,0,2,3669,159,8145,23.07,2.7,1909
All,7,7,0,0,6998,254,12608,27.55,3.33,1910
All,5,5,0,0,6382,184,11473,34.68,3.33,1911
All,12,9,0,3,8592,347,18782,24.76,2.74,1912
All,2,2,0,0,1537,60,3211,25.61,2.87,1913
All,3,2,0,1,2636,104,5871,25.34,2.69,1914
All,2,2,0,0,2226,68,4570,32.73,2.92,1920
All,11,7,0,4,11147,327,21363,34.08,3.13,1921
All,1,1,0,0,968,40,2022,24.2,2.87,1922
All,4,2,0,2,3615,129,9124,28.02,2.37,1923
All,6,4,0,2,5303,145,11298,36.57,2.81,1924
All,4,4,0,0,5086,150,12209,33.9,2.49,1925
All,5,1,0,4,3909,96,9395,40.71,2.49,1926
All,2,2,0,0,1771,70,4359,25.3,2.43,1927
All,9,8,0,1,9108,286,20904,31.84,2.61,1928
All,7,4,0,3,7837,214,19370,36.62,2.42,1929
All,15,8,0,7,16010,442,34628,36.22,2.77,1930
All,14,8,0,6,11714,391,26711,29.95,2.63,1931
All,7,7,0,0,6095,229,13475,26.61,2.71,1932
All,9,6,0,3,8081,258,17749,31.32,2.73,1933
All,7,4,0,3,7596,218,17195,34.84,2.65,1934
All,11,5,0,6,9795,321,21625,30.51,2.71,1935
All,8,7,0,1,6695,235,14884,28.48,2.69,1936
All,6,4,0,2,6266,206,13724,30.41,2.73,1937
All,6,2,0,4,7037,162,14814,43.43,2.85,1938
All,6,2,0,4,6363,158,14517,40.27,2.62,1939
All,6,4,0,2,4684,163,11116,28.73,2.52,1946
All,11,5,0,6,11532,322,27428,35.81,2.52,1947
All,17,10,0,7,18859,508,42679,37.12,2.65,1948
All,11,4,0,7,11831,318,25789,37.2,2.75,1949
All,9,8,0,1,8352,292,21844,28.6,2.29,1950
All,17,12,0,5,16012,528,40792,30.32,2.35,1951
All,16,12,0,4,12640,470,32253,26.89,2.35,1952
All,17,7,0,10,16827,533,44173,31.57,2.28,1953
All,15,11,0,4,13300,461,33740,28.85,2.36,1954
All,26,14,0,12,23098,766,60908,30.15,2.27,1955
All,15,12,0,3,10896,463,31381,23.53,2.08,1956
All,11,7,0,4,9895,360,27647,27.48,2.14,1957
All,18,14,0,4,15812,531,40183,29.77,2.36,1958
All,20,16,0,4,16769,617,41445,27.17,2.42,1959
All,18,6,1,11,17019,541,41849,31.45,2.44,1960
All,17,8,0,9,17996,526,43049,34.21,2.5,1961
All,18,14,0,4,18435,559,43430,32.97,2.54,1962
All,12,8,0,4,11465,384,27995,29.85,2.45,1963
All,24,6,0,18,24656,693,61322,35.57,2.41,1964
All,26,10,0,16,26952,790,62841,34.11,2.57,1965
All,15,10,0,5,15525,464,35892,33.45,2.59,1966
All,12,9,0,3,11588,388,26967,29.86,2.57,1967
All,18,11,0,7,18766,595,45031,31.53,2.5,1968
All,26,15,0,11,24110,838,59700,28.77,2.42,1969
All,6,4,0,2,6853,207,15687,33.1,2.62,1970
All,17,6,0,11,17387,501,42550,34.7,2.45,1971
All,14,8,0,6,14367,427,34080,33.64,2.52,1972
All,22,10,0,12,23521,661,53184,35.58,2.65,1973
All,22,13,0,9,21890,677,48895,32.33,2.68,1974
All,16,10,0,6,16930,482,34815,35.12,2.91,1975
All,23,16,0,7,24289,713,50528,34.06,2.88,1976
All,23,16,0,7,23243,785,49483,29.6,2.81,1977
All,27,18,0,9,25472,832,58236,30.61,2.62,1978
All,28,13,0,15,26659,830,59108,32.11,2.7,1979
All,25,11,0,14,21677,743,45789,29.17,2.84,1980
All,23,14,0,9,21608,746,47503,28.96,2.72,1981
All,28,17,0,11,27935,819,55844,34.1,3,1982
All,30,15,0,15,28821,840,57726,34.31,2.99,1983
All,34,21,0,13,32469,999,67391,32.5,2.89,1984
All,26,15,0,11,26080,747,53858,34.91,2.9,1985
All,30,16,1,13,26656,835,55999,31.92,2.85,1986
All,25,9,0,16,22396,684,50142,32.74,2.67,1987
All,24,16,0,8,22147,747,47710,29.64,2.78,1988
All,21,9,0,12,22687,574,46515,39.52,2.92,1989
All,26,16,0,10,24569,767,50110,32.03,2.94,1990
All,21,11,0,10,20774,617,41876,33.66,2.97,1991
All,26,14,0,12,25292,801,55480,31.57,2.73,1992
All,36,23,0,13,34021,1027,73818,33.12,2.76,1993
All,38,26,0,12,38777,1191,81035,32.55,2.87,1994
All,40,28,0,12,36398,1209,75704,30.1,2.88,1995
All,28,19,0,9,27454,895,57287,30.67,2.87,1996
All,44,23,0,21,42696,1314,86916,32.49,2.94,1997
All,45,34,0,11,43127,1431,91618,30.13,2.82,1998
All,43,29,0,14,41211,1312,86257,31.41,2.86,1999
All,46,34,0,12,41158,1398,89606,29.44,2.75,2000
All,55,43,0,12,55307,1644,109492,33.64,3.03,2001
All,54,46,0,8,54133,1666,101854,32.49,3.18,2002
All,44,32,0,12,48944,1347,91731,36.33,3.2,2003
All,51,40,0,11,57064,1605,103729,35.55,3.3,2004
All,49,37,0,12,52118,1554,92444,33.53,3.38,2005
All,46,34,0,12,50043,1446,89764,34.6,3.34,2006
All,31,22,0,9,33340,945,59604,35.28,3.35,2007
All,47,36,0,11,50647,1484,93861,34.12,3.23,2008
All,41,26,0,15,47381,1252,84252,37.84,3.37,2009
All,43,32,0,11,47353,1298,84988,36.48,3.34,2010
All,39,27,0,12,41247,1270,78604,32.47,3.14,2011
All,42,32,0,10,44409,1306,85300,34,3.12,2012
All,44,33,0,11,45563,1416,87183,32.17,3.13,2013
All,41,33,0,8,48044,1336,87943,35.96,3.27,2014
All,43,34,0,9,44830,1366,80847,32.81,3.32,2015
All,47,40,0,7,49341,1474,91210,33.47,3.24,2016
All,47,40,0,7,49443,1542,92453,32.06,3.2,2017
All,48,43,0,5,46261,1677,89006,27.58,3.11,2018
All,39,35,0,4,37615,1220,68191,30.83,3.3,2019
All,22,19,0,3,20661,670,40586,30.83,3.05,2020
All,28,23,0,5,27462,900,53993,30.51,3.05,2021